Team,Cover %,Win,Loss,Tie
Milwaukee,61.3,57.0,36.0,4.0
Dallas,56.8,46.0,35.0,1.0
Sacramento,56.2,45.0,35.0,2.0
LA Clippers,55.2,48.0,39.0,1.0
Portland,54.2,52.0,44.0,2.0
Orlando,54.1,46.0,39.0,2.0
Utah,54.1,46.0,39.0,2.0
San Antonio,53.4,47.0,41.0,1.0
Miami,53.1,43.0,38.0,1.0
Brooklyn,52.9,46.0,41.0,0.0
Houston,52.2,47.0,43.0,3.0
Atlanta,51.2,42.0,40.0,0.0
Denver,51.0,49.0,47.0,0.0
Okla City,50.6,44.0,43.0,0.0
Philadelphia,48.9,46.0,48.0,0.0
Detroit,48.8,41.0,43.0,2.0
Minnesota,48.8,40.0,42.0,0.0
Charlotte,48.8,39.0,41.0,2.0
Toronto,48.6,51.0,54.0,1.0
Boston,48.3,43.0,46.0,2.0
Memphis,48.1,39.0,42.0,1.0
Indiana,47.1,40.0,45.0,1.0
New Orleans,46.9,38.0,43.0,1.0
Cleveland,46.9,38.0,43.0,1.0
Washington,46.3,38.0,44.0,0.0
Phoenix,43.9,36.0,46.0,0.0
Chicago,43.8,35.0,45.0,2.0
LA Lakers,43.2,35.0,46.0,1.0
Golden State,43.1,44.0,58.0,2.0
New York,40.5,32.0,47.0,3.0
