Team,Cover %,Win,Loss,Tie
Boston,62.6,62.0,37.0,2.0
Indiana,59.6,53.0,36.0,0.0
New Orleans,57.8,52.0,38.0,1.0
Philadelphia,57.8,52.0,38.0,2.0
Brooklyn,56.8,46.0,35.0,1.0
Portland,55.6,45.0,36.0,5.0
Toronto,52.8,48.0,43.0,1.0
LA Lakers,52.4,43.0,39.0,0.0
LA Clippers,51.8,42.0,39.0,1.0
Utah,51.6,48.0,45.0,0.0
San Antonio,51.2,43.0,41.0,3.0
Houston,51.0,50.0,48.0,1.0
Atlanta,50.6,40.0,39.0,3.0
Chicago,50.6,41.0,40.0,1.0
Miami,50.6,41.0,40.0,6.0
Dallas,50.6,41.0,40.0,1.0
Detroit,50.0,40.0,40.0,2.0
Sacramento,49.4,39.0,40.0,3.0
Denver,46.8,37.0,42.0,3.0
Minnesota,46.4,39.0,45.0,3.0
New York,46.3,38.0,44.0,0.0
Orlando,46.2,37.0,43.0,2.0
Phoenix,46.2,37.0,43.0,2.0
Golden State,45.1,46.0,56.0,1.0
Memphis,45.0,36.0,44.0,2.0
Washington,44.8,39.0,48.0,1.0
Charlotte,43.6,34.0,44.0,4.0
Milwaukee,42.9,36.0,48.0,5.0
Okla City,42.5,37.0,50.0,1.0
Cleveland,39.8,41.0,62.0,1.0
